xflr5 v6.61

Plane name :        c90_s0_+1_twist
Polar name :        T1-43.0 m/s-LLT-160.0kg-x0.0m
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.024870   0.000037   0.008986   0.009023   0.000000  -0.000000  -0.003949  -0.000000  -0.000000   43.0000     0.0571
   -1.500     0.000   0.023051   0.000043   0.008824   0.008867   0.000000  -0.000000  -0.020480  -0.000000   0.000000   43.0000     0.5643
   -1.000     0.000   0.067678   0.000155   0.008274   0.008429   0.000000  -0.000000  -0.035733  -0.000000   0.000000   43.0000     0.3061
   -0.500     0.000   0.113649   0.000375   0.008035   0.008410   0.000000  -0.000000  -0.051484  -0.000000  -0.000000   43.0000     0.2594
    0.000     0.000   0.160433   0.000707   0.007980   0.008686   0.000000  -0.000000  -0.067504  -0.000000  -0.000000   43.0000     0.2422
    0.500     0.000   0.207423   0.001151   0.008000   0.009151   0.000000   0.000000  -0.083576  -0.000000  -0.000000   43.0000     0.2326
    1.000     0.000   0.254495   0.001708   0.008076   0.009784   0.000000  -0.000000  -0.099642  -0.000000  -0.000000   43.0000     0.2265
    1.500     0.000   0.301489   0.002377   0.008185   0.010562   0.000000  -0.000000  -0.115598  -0.000000  -0.000000   43.0000     0.2221
    2.000     0.000   0.349094   0.003165   0.008333   0.011498   0.000000   0.000000  -0.131841  -0.000000  -0.000000   43.0000     0.2191
    2.500     0.000   0.397233   0.004075   0.008501   0.012576   0.000000  -0.000000  -0.148323  -0.000000  -0.000000   43.0000     0.2170
    3.000     0.000   0.445898   0.005110   0.008680   0.013790   0.000000  -0.000000  -0.165027  -0.000000  -0.000000   43.0000     0.2154
    3.500     0.000   0.495541   0.006281   0.008867   0.015148   0.000000  -0.000000  -0.182185  -0.000000  -0.000000   43.0000     0.2142
    4.000     0.000   0.546114   0.007599   0.009062   0.016661   0.000000  -0.000000  -0.199834  -0.000000  -0.000000   43.0000     0.2135
    4.500     0.000   0.598004   0.009072   0.009273   0.018345   0.000000   0.000000  -0.218210  -0.000000  -0.000000   43.0000     0.2132
