xflr5 v6.61

Plane name :        c90_s0_-2_twist
Polar name :        T1-43.0 m/s-LLT-160.0kg-x0.0m
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.173901   0.001019   0.008028   0.009047   0.000000   0.000000   0.052098  -0.000000  -0.000000   43.0000     0.1595
   -1.500     0.000  -0.125633   0.000646   0.007945   0.008591   0.000000   0.000000   0.035655  -0.000000   0.000000   43.0000     0.1420
   -1.000     0.000  -0.078678   0.000369   0.007852   0.008221   0.000000  -0.000000   0.019598  -0.000000   0.000000   43.0000     0.1141
   -0.500     0.000  -0.036517   0.000237   0.008713   0.008949   0.000000   0.000000   0.006405  -0.000000   0.000000   43.0000     0.0251
    0.000     0.000   0.009721   0.000165   0.008449   0.008615   0.000000   0.000000  -0.009490  -0.000000  -0.000000   43.0000     0.6466
    0.500     0.000   0.055419   0.000204   0.008136   0.008341   0.000000  -0.000000  -0.025046  -0.000000  -0.000000   43.0000     0.2979
    1.000     0.000   0.101991   0.000357   0.008012   0.008369   0.000000  -0.000000  -0.040928  -0.000000  -0.000000   43.0000     0.2796
    1.500     0.000   0.149035   0.000625   0.008005   0.008630   0.000000   0.000000  -0.056994  -0.000000  -0.000000   43.0000     0.2446
    2.000     0.000   0.196311   0.001008   0.008057   0.009065   0.000000   0.000000  -0.073113  -0.000000  -0.000000   43.0000     0.2333
    2.500     0.000   0.243811   0.001511   0.008147   0.009658   0.000000  -0.000000  -0.089288  -0.000000  -0.000000   43.0000     0.2268
    3.000     0.000   0.291633   0.002134   0.008264   0.010398   0.000000  -0.000000  -0.105572  -0.000000  -0.000000   43.0000     0.2225
    3.500     0.000   0.340124   0.002887   0.008403   0.011290   0.000000  -0.000000  -0.122155  -0.000000  -0.000000   43.0000     0.2196
    4.000     0.000   0.389295   0.003777   0.008559   0.012336   0.000000  -0.000000  -0.139061  -0.000000  -0.000000   43.0000     0.2175
