xflr5 v6.61

Plane name :        c90_s0_-3_twist
Polar name :        T1-43.0 m/s-LLT-160.0kg-x0.0m
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.224814   0.001812   0.008136   0.009948   0.000000  -0.000000   0.071419   0.000000   0.000000   43.0000     0.1685
   -1.500     0.000  -0.176766   0.001313   0.008016   0.009329   0.000000  -0.000000   0.055154  -0.000000   0.000000   43.0000     0.1594
   -1.000     0.000  -0.129489   0.000904   0.007888   0.008792   0.000000   0.000000   0.039032  -0.000000   0.000000   43.0000     0.1472
   -0.500     0.000  -0.082923   0.000602   0.007739   0.008341   0.000000  -0.000000   0.023117  -0.000000   0.000000   43.0000     0.1187
    0.000     0.000  -0.037718   0.000417   0.007859   0.008277   0.000000  -0.000000   0.007953  -0.000000  -0.000000   43.0000     0.0094
    0.500     0.000   0.005569   0.000364   0.008406   0.008770   0.000000   0.000000  -0.005880   0.000000   0.000000   43.0000     1.3516
    1.000     0.000   0.051666   0.000382   0.008163   0.008545   0.000000   0.000000  -0.021589  -0.000000  -0.000000   43.0000     0.2796
    1.500     0.000   0.098246   0.000515   0.008038   0.008553   0.000000   0.000000  -0.037446  -0.000000  -0.000000   43.0000     0.2705
    2.000     0.000   0.145436   0.000764   0.008038   0.008802   0.000000  -0.000000  -0.053538  -0.000000  -0.000000   43.0000     0.2492
    2.500     0.000   0.192850   0.001131   0.008093   0.009224   0.000000   0.000000  -0.069692  -0.000000  -0.000000   43.0000     0.2338
    3.000     0.000   0.240561   0.001619   0.008183   0.009801   0.000000  -0.000000  -0.085948  -0.000000  -0.000000   43.0000     0.2271
    3.500     0.000   0.288679   0.002232   0.008297   0.010529   0.000000  -0.000000  -0.102355  -0.000000  -0.000000   43.0000     0.2227
    4.000     0.000   0.337522   0.002979   0.008432   0.011411   0.000000   0.000000  -0.119082  -0.000000  -0.000000   43.0000     0.2198
    4.500     0.000   0.387046   0.003866   0.008582   0.012448   0.000000   0.000000  -0.136136  -0.000000  -0.000000   43.0000     0.2178
    5.000     0.000   0.437168   0.004890   0.008742   0.013632   0.000000  -0.000000  -0.153469  -0.000000  -0.000000   43.0000     0.2164
    5.500     0.000   0.487420   0.006052   0.008911   0.014963   0.000000  -0.000000  -0.170952  -0.000000  -0.000000   43.0000     0.2153
    6.000     0.000   0.538368   0.007337   0.009092   0.016429   0.000000  -0.000000  -0.188843  -0.000000  -0.000000   43.0000     0.2146
    6.500     0.000   0.590276   0.008784   0.009288   0.018072   0.000000   0.000000  -0.207290  -0.000000  -0.000000   43.0000     0.2143
    7.000     0.000   0.642634   0.010383   0.009498   0.019881   0.000000  -0.000000  -0.226075  -0.000000  -0.000000   43.0000     0.2140
    7.500     0.000   0.693672   0.012038   0.009710   0.021748   0.000000   0.000000  -0.244385  -0.000000  -0.000000   43.0000     0.2137
    8.000     0.000   0.743178   0.013780   0.009935   0.023715   0.000000   0.000000  -0.262076  -0.000000  -0.000000   43.0000     0.2132
    8.500     0.000   0.792132   0.015618   0.010179   0.025797   0.000000  -0.000000  -0.279507  -0.000000  -0.000000   43.0000     0.2126
    9.000     0.000   0.840313   0.017544   0.010436   0.027980   0.000000  -0.000000  -0.296576  -0.000000  -0.000000   43.0000     0.2120
    9.500     0.000   0.886949   0.019523   0.010710   0.030233   0.000000   0.000000  -0.312865  -0.000000  -0.000000   43.0000     0.2112
   10.000     0.000   0.931635   0.021521   0.010998   0.032519   0.000000   0.000000  -0.328015  -0.000000  -0.000000   43.0000     0.2102
   10.500     0.000   0.975291   0.023580   0.011311   0.034891   0.000000   0.000000  -0.342522  -0.000000  -0.000000   43.0000     0.2091
   11.000     0.000   1.018913   0.025734   0.011654   0.037388   0.000000  -0.000000  -0.357003  -0.000000  -0.000000   43.0000     0.2080
   11.500     0.000   1.062532   0.027986   0.012027   0.040012   0.000000  -0.000000  -0.371487  -0.000000  -0.000000   43.0000     0.2071
   12.000     0.000   1.106080   0.030331   0.012435   0.042765   0.000000  -0.000000  -0.385953  -0.000000  -0.000000   43.0000     0.2061
   12.500     0.000   1.149476   0.032754   0.012884   0.045637   0.000000  -0.000000  -0.400373  -0.000000  -0.000000   43.0000     0.2052
   13.000     0.000   1.192295   0.035258   0.013394   0.048652   0.000000   0.000000  -0.414579  -0.000000  -0.000000   43.0000     0.2043
   13.500     0.000   1.234454   0.037808   0.013973   0.051782   0.000000  -0.000000  -0.428523  -0.000000  -0.000000   43.0000     0.2034
   14.000     0.000   1.275298   0.040369   0.014658   0.055027   0.000000   0.000000  -0.441946  -0.000000  -0.000000   43.0000     0.2025
   14.500     0.000   1.314979   0.042942   0.015425   0.058368   0.000000  -0.000000  -0.454877  -0.000000  -0.000000   43.0000     0.2016
   15.000     0.000   1.352946   0.045487   0.016295   0.061782   0.000000  -0.000000  -0.467120  -0.000000  -0.000000   43.0000     0.2005
   15.500     0.000   1.388257   0.047934   0.017286   0.065220   0.000000  -0.000000  -0.478315  -0.000000  -0.000000   43.0000     0.1994
   16.000     0.000   1.420849   0.050268   0.018384   0.068652   0.000000  -0.000000  -0.488458  -0.000000  -0.000000   43.0000     0.1982
   16.500     0.000   1.405460   0.057163   0.018243   0.075406   0.000000  -0.000000  -0.492176  -0.000000  -0.000000   43.0000     0.1978
